strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source
Blue Dream,17.0,0.1,0.0,0.0072,0.001,0.0058,0.0082,0.0074,0.0043,0.0007,0.0,"Relaxation,Euphoria,Creativity","Pain,Depression,Nausea,Insomnia",Hybrid,Hybrid - Lab terpenes + Manual metadata,425,Hybrid: Lab terpenes (425 samples) + Manual metadata
Dutch Treat,1.4,0.15,0.1,0.0037,0.0144,0.0038,0.0155,0.0019,0.0041,0.0035,0.0011,"Sedation,Euphoria,Energy","Anxiety,Depression",Sativa,Lab-Only - All data from laboratory testing,273,"Lab-Verified: 273 samples from Analytical 360, SC Labs"
Harlequin,9.0,9.0,0.0,0.0043,0.0018,0.0028,0.0092,0.0031,0.0025,0.0003,0.0005,"Relaxation,Focus,Clarity","Pain,Anxiety,Inflammation,Seizures",Sativa,Hybrid - Lab terpenes + Manual metadata,188,Hybrid: Lab terpenes (188 samples) + Manual metadata
Girl Scout Cookies,18.0,0.1,0.1,0.003,0.0015,0.0091,0.0067,0.0042,0.0104,0.0003,0.0,"Euphoria,Relaxation,Happiness","Pain,Nausea,Appetite,Stress",Hybrid,Hybrid - Lab terpenes + Manual metadata,166,Hybrid: Lab terpenes (166 samples) + Manual metadata
Sour Diesel,20.0,0.1,0.0,0.0066,0.0051,0.009,0.0076,0.0068,0.0123,0.0007,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,137,Hybrid: Lab terpenes (137 samples) + Manual metadata
Super Lemon Haze,19.0,0.1,0.0,0.0045,0.0094,0.0113,0.0095,0.0039,0.0061,0.0101,0.0256,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,137,Hybrid: Lab terpenes (137 samples) + Manual metadata
OG Kush,19.0,0.1,0.1,0.0033,0.002,0.0062,0.0066,0.0039,0.0107,0.0009,0.0004,"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Appetite",Hybrid,Hybrid - Lab terpenes + Manual metadata,135,Hybrid: Lab terpenes (135 samples) + Manual metadata
Green Crack,17.0,0.1,0.0,0.0059,0.0023,0.0053,0.0084,0.0073,0.0048,0.0005,0.0008,"Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,133,Hybrid: Lab terpenes (133 samples) + Manual metadata
Grape Ape,2.3,0.13,0.16,0.0107,0.0015,0.0056,0.0058,0.0082,0.0056,0.0003,0.0112,"Relaxation,Sedation","Pain,Insomnia",Indica,Lab-Only - All data from laboratory testing,120,"Lab-Verified: 120 samples from Analytical 360, PSI Labs, SC Labs"
Cinex,0.7,0.12,0.07,0.0014,0.0015,0.0038,0.0055,0.0031,0.0104,0.0001,0.0001,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,113,Lab-Verified: 113 samples from Analytical 360
Gorilla Glue #4,25.0,0.1,0.1,0.002,0.0024,0.0077,0.001,0.0042,0.0116,0.0002,0.0,"Relaxation,Euphoria,Sedation","Pain,Stress,Insomnia,Appetite",Hybrid,Hybrid - Lab terpenes + Manual metadata,112,Hybrid: Lab terpenes (112 samples) + Manual metadata
