strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source,cbg_percent,thcv_percent,cbc_percent,cbdv_percent,sample_count
Blue Dream,17.0,0.1,0.0,0.0072,0.001,0.0058,0.0082,0.0074,0.0043,0.0007,0.0,"Relaxation,Euphoria,Creativity","Pain,Depression,Nausea,Insomnia",Hybrid,Hybrid - Lab terpenes + Manual metadata,425,Hybrid: Lab terpenes (425 samples) + Manual metadata,0.45033734939759035,0.22930232558139532,0.3225769230769231,0.055,1020
Dutch Treat,1.4,0.15,0.1,0.0037,0.0144,0.0038,0.0155,0.0019,0.0041,0.0035,0.0011,"Sedation,Euphoria,Energy","Anxiety,Depression",Sativa,Lab-Only - All data from laboratory testing,273,"Lab-Verified: 273 samples from Analytical 360, SC Labs",0.740873786407767,0.535,0.2500251889168766,0.0,579
Harlequin,9.0,9.0,0.0,0.0043,0.0018,0.0028,0.0092,0.0031,0.0025,0.0003,0.0005,"Relaxation,Focus,Clarity","Pain,Anxiety,Inflammation,Seizures",Sativa,Hybrid - Lab terpenes + Manual metadata,188,Hybrid: Lab terpenes (188 samples) + Manual metadata,0.4398181818181819,0.08333333333333333,0.39216300940438875,0.03,467
Girl Scout Cookies,18.0,0.1,0.1,0.003,0.0015,0.0091,0.0067,0.0042,0.0104,0.0003,0.0,"Euphoria,Relaxation,Happiness","Pain,Nausea,Appetite,Stress",Hybrid,Hybrid - Lab terpenes + Manual metadata,166,Hybrid: Lab terpenes (166 samples) + Manual metadata,0.6404320987654321,0.07108108108108109,0.22094850948509484,0.0,468
Sour Diesel,20.0,0.1,0.0,0.0066,0.0051,0.009,0.0076,0.0068,0.0123,0.0007,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,137,Hybrid: Lab terpenes (137 samples) + Manual metadata,0.5291119691119692,0.2292727272727273,0.33312121212121215,0.02,520
Super Lemon Haze,19.0,0.1,0.0,0.0045,0.0094,0.0113,0.0095,0.0039,0.0061,0.0101,0.0256,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,137,Hybrid: Lab terpenes (137 samples) + Manual metadata,0.8093388429752066,0.16606060606060605,0.2555696202531646,0.01,246
OG Kush,19.0,0.1,0.1,0.0033,0.002,0.0062,0.0066,0.0039,0.0107,0.0009,0.0004,"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Appetite",Hybrid,Hybrid - Lab terpenes + Manual metadata,135,Hybrid: Lab terpenes (135 samples) + Manual metadata,0.5317674418604651,0.10333333333333333,0.33947882736156354,0.0,496
Green Crack,17.0,0.1,0.0,0.0059,0.0023,0.0053,0.0084,0.0073,0.0048,0.0005,0.0008,"Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,133,Hybrid: Lab terpenes (133 samples) + Manual metadata,0.5984536082474228,0.24444444444444446,0.28192307692307694,0.0,245
Grape Ape,2.3,0.13,0.16,0.0107,0.0015,0.0056,0.0058,0.0082,0.0056,0.0003,0.0112,"Relaxation,Sedation","Pain,Insomnia",Indica,Lab-Only - All data from laboratory testing,120,"Lab-Verified: 120 samples from Analytical 360, PSI Labs, SC Labs",0.4155384615384616,0.16818181818181818,0.24942622950819668,0.01,201
Cinex,0.7,0.12,0.07,0.0014,0.0015,0.0038,0.0055,0.0031,0.0104,0.0001,0.0001,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,113,Lab-Verified: 113 samples from Analytical 360,0.3714457831325301,0.0,0.22141791044776116,0.0,201
Gorilla Glue #4,25.0,0.1,0.1,0.002,0.0024,0.0077,0.001,0.0042,0.0116,0.0002,0.0,"Relaxation,Euphoria,Sedation","Pain,Stress,Insomnia,Appetite",Hybrid,Hybrid - Lab terpenes + Manual metadata,112,Hybrid: Lab terpenes (112 samples) + Manual metadata,0.6055045871559632,0.15258620689655172,0.17341463414634145,0.01,165
Blackberry Kush,3.0,0.13,0.11,0.0036,0.0017,0.0048,0.0084,0.0035,0.0077,0.0002,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,110,"Lab-Verified: 110 samples from Analytical 360, PSI Labs, SC Labs",0.45380952380952383,0.20666666666666667,0.25046511627906975,0.0,197
Blueberry,16.0,0.1,0.2,0.0057,0.0007,0.0057,0.0093,0.0043,0.0054,0.0015,0.0001,"Relaxation,Euphoria,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,109,Hybrid: Lab terpenes (109 samples) + Manual metadata,0.6775203252032521,0.16630434782608694,0.3040437158469945,0.0,592
RSO,44.8,2.67,0.71,0.0007,0.0027,0.008,0.0012,0.0058,0.0114,0.0008,0.0,Happiness,"Pain,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,109,"Lab-Verified: 109 samples from Analytical 360, PSI Labs, SC Labs",2.119627906976744,0.3569230769230769,1.7678307392996109,0.43600000000000005,1163
White Widow,18.0,0.1,0.0,0.0048,0.0021,0.0054,0.0138,0.0026,0.0071,0.0006,0.0001,"Energy,Euphoria,Creativity","Depression,Stress,Pain,Fatigue",Hybrid,Hybrid - Lab terpenes + Manual metadata,107,Hybrid: Lab terpenes (107 samples) + Manual metadata,0.353103448275862,0.36,0.29993103448275865,0.0,246
Jack Herer,18.0,0.1,0.0,0.005,0.0064,0.0082,0.0127,0.0043,0.0055,0.0122,0.0005,"Energy,Focus,Creativity,Euphoria","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,101,Hybrid: Lab terpenes (101 samples) + Manual metadata,0.6310112359550563,0.285,0.27862318840579714,0.0,221
Pineapple Express,19.0,0.1,0.0,0.0098,0.0027,0.0083,0.011,0.0144,0.0085,0.001,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Hybrid,Hybrid - Lab terpenes + Manual metadata,100,Hybrid: Lab terpenes (100 samples) + Manual metadata,0.3716883116883116,0.42000000000000004,0.2201851851851852,0.0,198
Bubba Kush,14.0,0.1,0.3,0.0025,0.0022,0.0054,0.0083,0.0025,0.0129,0.0003,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,96,Hybrid: Lab terpenes (96 samples) + Manual metadata,0.47874999999999995,0.092,0.32377952755905504,0.0,252
Super Silver Haze,1.3,0.09,0.12,0.0045,0.0037,0.0056,0.0103,0.0022,0.0045,0.0011,0.0005,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,94,"Lab-Verified: 94 samples from Analytical 360, SC Labs",0.758181818181818,0.2357142857142857,0.2878787878787878,0.01,163
Chernobyl,1.5,0.14,0.11,0.0023,0.0054,0.0051,0.004,0.0049,0.0062,0.0019,0.0001,"Euphoria,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,90,"Lab-Verified: 90 samples from Analytical 360, PSI Labs, SC Labs",0.43962025316455683,0.12,0.23443609022556391,0.0,202
Tahoe OG,2.4,0.12,0.17,0.0034,0.0016,0.0049,0.0087,0.0059,0.0083,0.0003,0.0,Happiness,"Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,85,"Lab-Verified: 85 samples from Analytical 360, PSI Labs, SC Labs",0.3952380952380952,0.10850000000000001,0.12127272727272727,0.0,182
Purple Kush,17.0,0.1,0.4,0.0044,0.0019,0.006,0.0062,0.0047,0.0069,0.0003,0.0004,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,84,Hybrid: Lab terpenes (84 samples) + Manual metadata,0.4785483870967742,0.2675,0.24019047619047618,0.06,173
Permafrost,2.3,0.18,0.22,0.0034,0.0034,0.0064,0.009,0.0041,0.0049,0.0005,0.0,Happiness,"Pain,Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,83,"Lab-Verified: 83 samples from Analytical 360, PSI Labs",0.5701923076923077,0.05500000000000001,0.26917647058823535,0.0,154
Cherry Pie,16.0,0.1,0.0,0.0054,0.0017,0.0081,0.0041,0.0038,0.0082,0.0002,0.0003,"Relaxation,Euphoria,Happiness","Stress,Pain,Anxiety,Insomnia",Hybrid,Hybrid - Lab terpenes + Manual metadata,80,Hybrid: Lab terpenes (80 samples) + Manual metadata,0.48816666666666664,0.06285714285714286,0.24468468468468468,0.0,152
Cannatonic,1.8,3.73,0.26,0.0063,0.0013,0.0028,0.0083,0.0033,0.0039,0.0002,0.0,Relaxation,"Pain,Anxiety,Insomnia,Inflammation",Indica,Lab-Only - All data from laboratory testing,79,"Lab-Verified: 79 samples from Analytical 360, PSI Labs, SC Labs",0.6781818181818182,0.10666666666666667,0.5160377358490565,0.08,211
Gorilla Glue,9.2,0.07,0.06,0.0048,0.0066,0.012,0.0013,0.006,0.0114,0.0005,0.0,"Euphoria,Focus,Creativity","Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,77,"Lab-Verified: 77 samples from Analytical 360, PSI Labs, SC Labs",0.6348017621145374,0.1784251968503937,0.23983402489626554,0.045,332
Sour Tsunami,0.3,0.95,0.14,0.004,0.0031,0.0032,0.003,0.0012,0.003,0.0014,0.001,Happiness,"Inflammation,Stress",Hybrid,Lab-Only - All data from laboratory testing,77,"Lab-Verified: 77 samples from Analytical 360, SC Labs",0.7050000000000002,0.0,0.2611538461538462,0.21,149
Cotton Candy,3.2,0.21,0.19,0.0018,0.0013,0.0041,0.0062,0.0037,0.009,0.0004,0.0004,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,73,Lab-Verified: 73 samples from Analytical 360,0.5063461538461538,0.0,0.21052631578947367,0.0,137
Trainwreck,18.0,0.1,0.0,0.0074,0.0047,0.0091,0.0097,0.0065,0.0069,0.0116,0.0268,"Energy,Euphoria,Creativity","Depression,Stress,Pain,Fatigue",Hybrid,Hybrid - Lab terpenes + Manual metadata,69,Hybrid: Lab terpenes (69 samples) + Manual metadata,0.7730701754385966,0.17333333333333334,0.6166455696202532,0.0,247
AK-47,20.0,0.1,0.0,0.0055,0.0007,0.0044,0.0106,0.0029,0.0056,0.0002,0.0004,"Relaxation,Euphoria,Creativity","Stress,Depression,Pain,Anxiety",Hybrid,Hybrid - Lab terpenes + Manual metadata,66,Hybrid: Lab terpenes (66 samples) + Manual metadata,0.32111111111111107,0.13,0.2316129032258064,0.0,132
Master Kush,2.8,0.09,0.13,0.0025,0.0049,0.0048,0.0106,0.0045,0.0079,0.0003,0.0,"Sedation,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,65,"Lab-Verified: 65 samples from Analytical 360, PSI Labs, SC Labs",0.893157894736842,0.2758333333333333,0.18166666666666664,0.0,117
Afgoo,2.4,0.26,0.11,0.0092,0.0009,0.0041,0.0097,0.0039,0.0044,0.0002,0.0012,"Relaxation,Sedation","Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,64,"Lab-Verified: 64 samples from Analytical 360, SC Labs",0.6142666666666666,0.01,0.3121167883211679,0.0,229
Girl Scout Cookie,4.8,0.12,0.08,0.0041,0.0022,0.007,0.0068,0.005,0.0089,0.0004,0.0,Happiness,"Pain,Stress",Hybrid,Lab-Only - All data from laboratory testing,64,"Lab-Verified: 64 samples from Analytical 360, PSI Labs, SC Labs",0.6571914893617021,0.1145098039215686,0.21378757515030059,0.0,641
Chocolope,2.2,0.09,0.08,0.0039,0.0014,0.0061,0.0074,0.0025,0.0042,0.0001,0.0,Happiness,"Pain,Anxiety",Hybrid,Lab-Only - All data from laboratory testing,63,"Lab-Verified: 63 samples from Analytical 360, PSI Labs, SC Labs",0.7248888888888888,0.06375,0.2592982456140351,0.0,107
Northern Lights,16.0,0.1,0.3,0.005,0.0009,0.0056,0.0111,0.0036,0.0068,0.0006,0.0007,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,60,Hybrid: Lab terpenes (60 samples) + Manual metadata,0.63009900990099,0.2825,0.3943269230769231,0.0,196
ATF,2.7,0.13,0.19,0.003,0.0004,0.0064,0.0086,0.0034,0.0092,0.0011,0.0002,Happiness,"Pain,Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,56,Lab-Verified: 56 samples from Analytical 360,0.5983783783783783,0.055,0.26661764705882346,0.0,111
Grapefruit,2.3,0.14,0.14,0.0039,0.0019,0.005,0.0052,0.0016,0.0077,0.0007,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,56,"Lab-Verified: 56 samples from Analytical 360, SC Labs",1.0906666666666667,0.2859999999999999,0.20626168224299066,0.0,148
Durban Poison,15.0,0.1,0.0,0.0024,0.0059,0.0056,0.0046,0.0022,0.0072,0.0104,0.0002,"Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,54,Hybrid: Lab terpenes (54 samples) + Manual metadata,0.7163636363636363,0.7172222222222221,0.47596491228070176,0.01,99
Headband,17.0,0.1,0.0,0.0092,0.0072,0.0126,0.0053,0.0042,0.0106,0.001,0.0001,"Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Hybrid,Hybrid - Lab terpenes + Manual metadata,53,Hybrid: Lab terpenes (53 samples) + Manual metadata,0.8101136363636364,0.20400000000000001,0.3755038759689922,0.0,199
Lavender,2.1,0.13,0.15,0.0035,0.0032,0.0044,0.0067,0.0051,0.0053,0.0012,0.0006,Focus,Stress,Hybrid,Lab-Only - All data from laboratory testing,53,"Lab-Verified: 53 samples from Analytical 360, PSI Labs, SC Labs",0.6992857142857142,0.39470588235294124,0.34529411764705886,0.0,176
Plushberry,2.3,0.1,0.07,0.0056,0.0024,0.0051,0.0112,0.0049,0.0029,0.0011,0.0,Sedation,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,53,"Lab-Verified: 53 samples from Analytical 360, PSI Labs",0.33925,0.09000000000000001,0.3198214285714286,0.0,110
Blue Cheese,0.8,0.16,0.06,0.0047,0.0042,0.0049,0.0116,0.005,0.0057,0.0008,0.0002,"Sedation,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,52,"Lab-Verified: 52 samples from Analytical 360, PSI Labs, SC Labs",0.4706451612903226,0.2,0.20491525423728812,0.01,96
Remedy,1.3,2.55,0.15,0.0032,0.0003,0.0021,0.0065,0.0017,0.0006,0.0002,0.0,Happiness,"Inflammation,Stress",Hybrid,Lab-Only - All data from laboratory testing,52,Lab-Verified: 52 samples from Analytical 360,0.6656249999999999,0.0,0.5277173913043478,0.11,109
