strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,sample_count,data_source,lab_sources
Blue Dream,2.1,0.16,0.1,0.0072,0.001,0.0058,0.0082,0.0074,0.0043,0.0007,0.0,425,Lab-Aggregated (425 samples),"Analytical 360, PSI Labs, SC Labs"
Dutch Treat,1.4,0.15,0.1,0.0037,0.0144,0.0038,0.0155,0.0019,0.0041,0.0035,0.0011,273,Lab-Aggregated (273 samples),"Analytical 360, SC Labs"
Harlequin,0.9,0.83,0.15,0.0043,0.0018,0.0028,0.0092,0.0031,0.0025,0.0003,0.0005,188,Lab-Aggregated (188 samples),"Analytical 360, SC Labs"
Girl Scout Cookies,3.4,0.22,0.13,0.003,0.0015,0.0091,0.0067,0.0042,0.0104,0.0003,0.0,166,Lab-Aggregated (166 samples),"Analytical 360, PSI Labs, SC Labs"
Super Lemon Haze,3.1,0.14,0.13,0.0045,0.0094,0.0113,0.0095,0.0039,0.0061,0.0101,0.0256,137,Lab-Aggregated (137 samples),"Analytical 360, PSI Labs, SC Labs"
Sour Diesel,4.2,0.15,0.17,0.0066,0.0051,0.009,0.0076,0.0068,0.0123,0.0007,0.0001,137,Lab-Aggregated (137 samples),"Analytical 360, PSI Labs, SC Labs"
OG Kush,4.2,0.2,0.24,0.0033,0.002,0.0062,0.0066,0.0039,0.0107,0.0009,0.0004,135,Lab-Aggregated (135 samples),"Analytical 360, PSI Labs, SC Labs"
Green Crack,3.1,0.12,0.19,0.0059,0.0023,0.0053,0.0084,0.0073,0.0048,0.0005,0.0008,133,Lab-Aggregated (133 samples),"Analytical 360, PSI Labs, SC Labs"
Grape Ape,2.3,0.13,0.16,0.0107,0.0015,0.0056,0.0058,0.0082,0.0056,0.0003,0.0112,120,Lab-Aggregated (120 samples),"Analytical 360, PSI Labs, SC Labs"
Cinex,0.7,0.12,0.07,0.0014,0.0015,0.0038,0.0055,0.0031,0.0104,0.0001,0.0001,113,Lab-Aggregated (113 samples),Analytical 360
