strain_name,thc_percent,cbd_percent,cbn_percent,cannabinoid_source,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,terpene_source,primary_effects,medical_uses,effects_source,strain_type,type_source,data_quality,sample_count,lab_sources,manual_source
Blue Dream,17.0,0.1,0.0,Manual (Strain Data Project),0.0072,0.001,0.0058,0.0082,0.0074,0.0043,0.0007,0.0,"Lab-Verified (425 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Euphoria,Creativity","Pain,Depression,Nausea,Insomnia",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,425,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
Dutch Treat,1.4,0.15,0.1,Lab-Verified (273 samples),0.0037,0.0144,0.0038,0.0155,0.0019,0.0041,0.0035,0.0011,"Lab-Verified (273 samples from Analytical 360, SC Labs)","Sedation,Euphoria,Energy","Anxiety,Depression",Auto-generated from terpene profile,Sativa,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,273,"Analytical 360, SC Labs",None
Harlequin,9.0,9.0,0.0,Manual (Lab Verified),0.0043,0.0018,0.0028,0.0092,0.0031,0.0025,0.0003,0.0005,"Lab-Verified (188 samples from Analytical 360, SC Labs)","Relaxation,Focus,Clarity","Pain,Anxiety,Inflammation,Seizures",Manual (Lab Verified),Sativa,Manual (Lab Verified),Hybrid - Lab terpenes + Manual metadata,188,"Analytical 360, SC Labs",Lab Verified
Girl Scout Cookies,18.0,0.1,0.1,Manual (Strain Data Project),0.003,0.0015,0.0091,0.0067,0.0042,0.0104,0.0003,0.0,"Lab-Verified (166 samples from Analytical 360, PSI Labs, SC Labs)","Euphoria,Relaxation,Happiness","Pain,Nausea,Appetite,Stress",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,166,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
Sour Diesel,20.0,0.1,0.0,Manual (Strain Data Project),0.0066,0.0051,0.009,0.0076,0.0068,0.0123,0.0007,0.0001,"Lab-Verified (137 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,137,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
Super Lemon Haze,19.0,0.1,0.0,Manual (Strain Data Project),0.0045,0.0094,0.0113,0.0095,0.0039,0.0061,0.0101,0.0256,"Lab-Verified (137 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,137,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
OG Kush,19.0,0.1,0.1,Manual (Mendeley Dataset),0.0033,0.002,0.0062,0.0066,0.0039,0.0107,0.0009,0.0004,"Lab-Verified (135 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Appetite",Manual (Mendeley Dataset),Hybrid,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,135,"Analytical 360, PSI Labs, SC Labs",Mendeley Dataset
Green Crack,17.0,0.1,0.0,Manual (Terpene Parser),0.0059,0.0023,0.0053,0.0084,0.0073,0.0048,0.0005,0.0008,"Lab-Verified (133 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,133,"Analytical 360, PSI Labs, SC Labs",Terpene Parser
Grape Ape,2.3,0.13,0.16,Lab-Verified (120 samples),0.0107,0.0015,0.0056,0.0058,0.0082,0.0056,0.0003,0.0112,"Lab-Verified (120 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Sedation","Pain,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,120,"Analytical 360, PSI Labs, SC Labs",None
Cinex,0.7,0.12,0.07,Lab-Verified (113 samples),0.0014,0.0015,0.0038,0.0055,0.0031,0.0104,0.0001,0.0001,Lab-Verified (113 samples from Analytical 360),Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,113,Analytical 360,None
